# IEC Vap Identifier - Pass
# Auto-generated by classify_fixtures.rb

IEC 60287-2-1:1994+AMD1:2001+AMD2:2006 CSV
IEC 60287-2-1:2015 RLV
IEC 60287-3-1:1995+AMD1:1999 CSV
IEC 60287-3-1:2017 RLV
IEC 60287:2022 SER
IEC 60296:2012 RLV
IEC 60297-4:1995+AMD1:1999 CSV
IEC 60298:1990+AMD1:1994 CSV
IEC 60305:2021 RLV
IEC 60309-1:1999+AMD1:2005+AMD2:2012 CSV
IEC 60309-2:1999+AMD1:2005+AMD2:2012 CSV
IEC 60309-4:2006+AMD1:2012 CSV
IEC 60311:1995+AMD1:1997+AMD2:1999 CSV
IEC 60311:2002+AMD1:2005+AMD2:2009 CSV
IEC 60312-1:2010+AMD1:2011 CSV
IEC 60312:1998+AMD1:2000+AMD2:2004 CSV
IEC 60315-3:1989+AMD1:1999 CSV
IEC 60317-0-1:1997+AMD1:1999+AMD2:2005 CSV
IEC 60317-0-1:2013+AMD1:2019 CSV
IEC 60317-0-2:1997+AMD1:1999+AMD2:2005 CSV
IEC 60317-0-2:2020 RLV
IEC 60317-0-3:1997+AMD1:1999+AMD2:2004 CSV
IEC 60317-0-3:2008+AMD1:2013+AMD2:2019 CSV
IEC 60317-0-4:1997+AMD1:1999+AMD2:2005 CSV
IEC 60317-0-4:2020 RLV
IEC 60317-0-5:1992+AMD1:1997+AMD2:1999 CSV
IEC 60317-0-6:2001+AMD1:2006 CSV
IEC 60317-0-6:2020 RLV
IEC 60317-0-8:2019 RLV
IEC 60317-1:1990+AMD1:1997+AMD2:1997 CSV
IEC 60317-11:1990+AMD1:1993+AMD2:1997 CSV
IEC 60317-11:1999+AMD1:2005 CSV
IEC 60317-12:2020 RLV
IEC 60317-13:1990+AMD1:1997+AMD2:1997 CSV
IEC 60317-15:2004+AMD1:2010 CSV
IEC 60317-17:2020 RLV
IEC 60317-18:2004+AMD1:2009 CSV
IEC 60317-18:2020 RLV
IEC 60317-19:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-2:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-2:2019 RLV
IEC 60317-20:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-20:2013+AMD1:2019 CSV
IEC 60317-21:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-21:2013+AMD1:2019 CSV
IEC 60317-22:2004+AMD1:2009 CSV
IEC 60317-23:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-23:2013+AMD1:2019 CSV
IEC 60317-25:1990+AMD1:1997+AMD2:1997 CSV
IEC 60317-25:2020 RLV
IEC 60317-3:2004+AMD1:2010 CSV
IEC 60317-31:1990+AMD1:1997 CSV
IEC 60317-32:1990+AMD1:1997 CSV
IEC 60317-33:1990+AMD1:1997 CSV
IEC 60317-35:1992+AMD1:1997+AMD2:1999 CSV
IEC 60317-35:2013+AMD1:2019 CSV
IEC 60317-36:1992+AMD1:1997+AMD2:1999 CSV
IEC 60317-36:2013+AMD1:2019 CSV
IEC 60317-37:1992+AMD1:1997+AMD2:1999 CSV
IEC 60317-38:1992+AMD1:1997+AMD2:1999 CSV
IEC 60317-4:1990+AMD1:1997+AMD2:1999 CSV
IEC 60317-42:1997+AMD1:2010 CSV
IEC 60317-43:1997+AMD1:2010 CSV
IEC 60317-44:1997+AMD1:2010 CSV
IEC 60317-55:2013+AMD1:2019 CSV
IEC 60317-61:2020 RLV
IEC 60317-62:2020 RLV
IEC 60317-68:2017+AMD1:2019 CSV
IEC 60317-7:1990+AMD1:1997+AMD2:1997 CSV
IEC 60317-71:2020 RLV
IEC 60317-72:2020 RLV
IEC 60317-8:1990+AMD1:1997+AMD2:1997 CSV
IEC 60320-1:2001+AMD1:2007 CSV
IEC 60320-1:2015+AMD1:2018 CSV
IEC 60320-1:2021 CMV
IEC 60320-2-3:1998+AMD1:2004 CSV
IEC 60320-2-3:2018 RLV
IEC 60320-2-4:2005+AMD1:2009 CSV
IEC 60320-2-4:2018 RLV
IEC 60320-3:2014+AMD1:2018 CSV
IEC 60331-1:2018 RLV
IEC 60331-11:1999+AMD1:2009 CSV
IEC 60331-2:2018 RLV
IEC 60331-3:2018 RLV
