# NIST Circular - Pass
# Auto-generated by classify_fixtures.rb

NBS CIRC 539v6
NBS CIRC 539v7
NBS CIRC 539v8
NBS CIRC 539v9
NBS CIRC 54
NBS CIRC 540
NBS CIRC 541
NBS CIRC 542
NBS CIRC 543
NBS CIRC 544
NBS CIRC 545
NBS CIRC 546
NBS CIRC 547
NBS CIRC 548
NBS CIRC 549
NBS CIRC 54e2
NBS CIRC 54index
NBS CIRC 55
NBS CIRC 550
NBS CIRC 551
NBS CIRC 552
NBS CIRC 552e2
NBS CIRC 552e3
NBS CIRC 553
NBS CIRC 554
NBS CIRC 555
NBS CIRC 556
NBS CIRC 557
NBS CIRC 558
NBS CIRC 559
NBS CIRC 56
NBS CIRC 560
NBS CIRC 561
NBS CIRC 562
!NBS CIRC 562supp1!NBS CIRC 562sup1
NBS CIRC 563
NBS CIRC 564
NBS CIRC 565
NBS CIRC 566
NBS CIRC 567
NBS CIRC 568
NBS CIRC 569
NBS CIRC 56e2
NBS CIRC 57
NBS CIRC 570
NBS CIRC 571
NBS CIRC 572
NBS CIRC 573
NBS CIRC 574
NBS CIRC 575
NBS CIRC 576
NBS CIRC 577
NBS CIRC 578
NBS CIRC 579
NBS CIRC 57e2
NBS CIRC 58
NBS CIRC 580
NBS CIRC 581
NBS CIRC 582
NBS CIRC 583
!NBS CIRC 583supp!NBS CIRC 583sup
NBS CIRC 584
NBS CIRC 585
NBS CIRC 586
NBS CIRC 587
NBS CIRC 588
NBS CIRC 589
NBS CIRC 58e2
NBS CIRC 59
NBS CIRC 590
NBS CIRC 591
NBS CIRC 592
NBS CIRC 593
NBS CIRC 594
NBS CIRC 595
NBS CIRC 596
NBS CIRC 597
NBS CIRC 598
NBS CIRC 599
NBS CIRC 5e2
NBS CIRC 5e3
NBS CIRC 6
NBS CIRC 60
NBS CIRC 600
NBS CIRC 601
NBS CIRC 602
NBS CIRC 603
NBS CIRC 60e2
NBS CIRC 61
NBS CIRC 61e2
NBS CIRC 62
NBS CIRC 62e2
NBS CIRC 62e3
NBS CIRC 63
NBS CIRC 64
NBS CIRC 65
NBS CIRC 66
NBS CIRC 67
NBS CIRC 68
NBS CIRC 69
NBS CIRC 6e2
NBS CIRC 6e3
NBS CIRC 6e4
NBS CIRC 6e5
NBS CIRC 6e6
NBS CIRC 6e7
NBS CIRC 7
NBS CIRC 70
NBS CIRC 71
NBS CIRC 72
NBS CIRC 73
NBS CIRC 73e2
NBS CIRC 74
!NBS CIRC 74-1937!NBS CIRC 74e1937
NBS CIRC 74e2
NBS CIRC 74errata
NBS CIRC 75
NBS CIRC 76
NBS CIRC 77
NBS CIRC 78
NBS CIRC 78e2
NBS CIRC 79
NBS CIRC 79e2
NBS CIRC 7e2
NBS CIRC 7e3
NBS CIRC 7e4
NBS CIRC 7e5
NBS CIRC 8
NBS CIRC 80
NBS CIRC 80e2
NBS CIRC 81
NBS CIRC 81e2
NBS CIRC 82
NBS CIRC 82e2
NBS CIRC 82e3
NBS CIRC 83
NBS CIRC 84
NBS CIRC 84e2
NBS CIRC 85
NBS CIRC 85e2
NBS CIRC 86
NBS CIRC 86e2
NBS CIRC 86e3
NBS CIRC 87
NBS CIRC 87e2
NBS CIRC 88
NBS CIRC 88e2
NBS CIRC 89
NBS CIRC 89e2
NBS CIRC 89e3
NBS CIRC 8e2
NBS CIRC 8e3
NBS CIRC 8e4
NBS CIRC 9
NBS CIRC 90
NBS CIRC 90e2
NBS CIRC 91
NBS CIRC 91e2
NBS CIRC 92
NBS CIRC 93
NBS CIRC 93e2
NBS CIRC 93e3
NBS CIRC 94
NBS CIRC 94e2
NBS CIRC 94e3
NBS CIRC 95
NBS CIRC 95e2
NBS CIRC 96
NBS CIRC 97
NBS CIRC 97e2
NBS CIRC 97e3
NBS CIRC 98
NBS CIRC 98e2
NBS CIRC 99
NBS CIRC 9e2
NBS CIRC 9e3
NBS CIRC 9e4
NBS CIRC 9e5
NBS CIRC 9e6
NBS CIRC 9e7
NBS CIRC 9e8
!NBS CIRC sup!NBS CIRC 24e7sup
!NBS CIRC supJun1925-Jun1926!NBS CIRC 24e7sup2
!NBS CIRC supJun1925-Jun1927!NBS CIRC 24e7sup3
!NBS CIRC 25supp-1924!NBS CIRC 25sup1924
!NBS CIRC 25supp-1925!NBS CIRC 25sup1925
!NBS CIRC 25supp-1927!NBS CIRC 25sup1927
!NBS CIRC 25supp-1928!NBS CIRC 25sup1928
!NBS CIRC 25supp-1929!NBS CIRC 25sup1929
!NBS.CIRC.154suprev!NBS.CIRC.154
!NBS.CIRC.e2!NBS.CIRCe2
!NBS.CIRC.sup!NBS.CIRC
!NBS.CIRC.supJun1925-Jun1926!NBS CIRC supJun1925-Jun1926
!NBS.CIRC.supJun1925-Jun1927!NBS CIRC supJun1925-Jun1927
